"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $0/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xdc0f9071550c9980682eba50f8c658cbe2f971b5eb734d09db9ef625e4ae7d25","7905251","1667770152","2022-11-06 21:29:12","0xe684e017d41d4ab9f924a572a316c4bea9e4152f","","0x4933ef805602f6fa6cf4f3263510c95d30912d69","0","0","0","0.001487988010911912","0","","","","0x60806040",""
"0xba343b6f2af46ccba53b1b9c5e8d2fe260c9d278bfb7bf38b55a7e650de33bfe","7905336","1667771292","2022-11-06 21:48:12","0xe684e017d41d4ab9f924a572a316c4bea9e4152f","0x4933ef805602f6fa6cf4f3263510c95d30912d69","","0","0","0","0.000072985500437913","0","","","","Give Right To Vote",""
"0xd1839a9f9ba4f49cf48f7eb06411df017c37bf5de300ddbd5b6ca64faa2f56ec","7905499","1667773536","2022-11-06 22:25:36","0xe684e017d41d4ab9f924a572a316c4bea9e4152f","0x4933ef805602f6fa6cf4f3263510c95d30912d69","","0","0","0","0.000082186500767074","0","","","","Delegate",""
"0xd4417b06635b69df7de6796d5e74bbe341a501f4fbd33115853d51d37e36f7e1","7905862","1667778408","2022-11-06 23:46:48","0xe684e017d41d4ab9f924a572a316c4bea9e4152f","0x4933ef805602f6fa6cf4f3263510c95d30912d69","","0","0","0","0.000071352500256869","0","","Error(0)","execution reverted","Give Right To Vote",""
